,rank02,artist_names,track_name,source,peak_rank,stream02,streams09,streams16,streams23,peak_rank23,rank09,rank16,rank23,weeks_on_chart
158,159,LE SSERAFIM,FEARLESS,SOURCE MUSIC,149,6067593,6372442,6376542,6521229,101,159,159,159,67
159,160,Steve Lacy,Dark Red,Three Quarter,66,6040919,6359688,6372990,6502855,51,160,160,160,55
160,161,Sebastian Yatra,Tacones Rojos,UMLE - Latino,45,6037338,NaN,6372821,6474363,161,NaN,161,161,7
161,162,"Drake, WizKid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,12,6032469,6305020,6335121,6471547,1,162,162,162,192
162,163,Leah Kate,10 Things I Hate About You,"Leah Kate, under exclusive license to 10K Projects / MDDN",117,6030750,6296940,6289200,6459784,1,163,163,163,90
163,164,"Eminem, Nate Dogg",'Till I Collapse,Aftermath,81,6006613,6291019,6274045,6456718,113,164,164,164,33
164,165,Avicii,The Nights,Universal Music AB,44,6000551,NaN,6270736,6412739,122,NaN,165,165,77
165,166,IVE,LOVE DIVE,STARSHIP Entertainment,51,5991122,6260686,6267969,6400096,2,166,166,166,57
166,167,Conan Gray,Heather,Republic Records,12,5981467,6256683,6266595,6380185,9,167,167,167,34
167,168,Ed Sheeran,Perfect,Atlantic Records UK,4,5954716,6238381,6215940,6371651,8,168,168,168,6
168,169,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,63,5941923,6234616,6166018,6330151,103,169,169,169,76
169,170,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,170,5939610,6231810,6134097,NaN,NaN,170,NaN,NaN,NaN
170,171,"Matheus Fernandes, Xand Avião",Balanço da Rede,Som Livre,171,5926545,6199515,6131362,6302598,28,171,171,171,7
171,172,"Imanbek, BYOR",Belly Dancer,Musical Freedom,172,5914614,6195227,6119189,6280002,98,172,172,172,100
172,173,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,5913636,6194848,6108095,6275974,106,173,NaN,173,25
173,174,The Police,Every Breath You Take,Polydor Records,144,5896145,6180781,6107010,6259432,1,174,174,174,86
174,175,Demi Lovato,Cool for the Summer,Hollywood Records,42,5867659,6150719,6100014,6256741,109,175,175,175,9
175,176,Post Malone,Circles,Republic Records,1,5853335,6130349,6074862,6244724,107,176,176,176,19
176,177,One Direction,Night Changes,Syco Music,177,5822143,NaN,6035862,6206487,16,NaN,177,177,5
177,178,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,5788707,6087974,6021888,6204381,1,178,178,178,282
178,179,BoyWithUke,Toxic,Republic Records,23,5782006,NaN,6008781,6169713,55,NaN,NaN,179,14
179,180,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,15,5753924,6036448,5990791,6124088,2,180,180,180,57
180,181,Kevin Kaarl,San Lucas,Kevin Kaarl,149,5731217,5983548,5981918,6057486,66,181,181,181,46
181,182,The Neighbourhood,Daddy Issues,Columbia,99,5719954,5980469,5930676,6052088,30,182,182,182,7
182,183,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,34,5715898,5974108,5930327,6039798,6,183,183,183,107
183,184,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,5697287,5966986,5883315,NaN,NaN,184,NaN,NaN,NaN
184,185,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,149,5693961,NaN,5862863,6017917,12,NaN,185,185,100
185,186,"Kendrick Lamar, Kodak Black",Silent Hill,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,21,5666783,5930223,5859078,6013552,44,186,186,186,79
186,187,Dua Lipa,Levitating,Warner Records,52,5658422,5890962,5846719,6006130,1,187,NaN,187,147
187,188,Avicii,Wake Me Up,Universal Music AB,13,5657870,5864662,5775473,6002828,124,188,188,188,8
188,189,Kendrick Lamar,United In Grief,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,11,5654902,5857823,5749594,5992598,44,189,189,189,67
